"interpretacion","id_interpretacion","edad","id_usuario","id_escuela","grado","id_palabra"
"baja","69","14","13","8","2","10"
"baja","69","null","15","8","2","10"
"baja","69","null","17","8","2","10"
"baja","69","13","18","8","2","10"
"baja","69","13","19","8","2","10"
"baja","69","13","20","8","2","10"
"baja","69","13","26","8","2","10"
"baja","69","13","30","8","2","10"
"baja","69","13","31","8","2","10"
"baja","69","null","32","8","2","10"
"baja","69","13","33","8","2","10"
"baja","69","13","34","8","2","10"
"baja","69","13","35","8","2","10"
"baja","69","13","36","8","2","10"
"baja","69","13","37","8","2","10"
"baja","69","13","39","8","2","10"
"baja","69","14","41","4","3","10"
"baja","69","14","42","4","3","10"
"baja","69","15","45","4","3","10"
"baja","69","15","46","4","3","10"
"baja","69","15","47","4","3","10"
"baja","69","14","49","4","3","10"
"baja","69","14","64","4","3","10"
"baja","69","15","65","4","3","10"
"baja","69","14","67","4","3","10"
"baja","69","14","68","4","3","10"
"baja","69","null","79","8","3","10"
"balazo","70","null","75","4","3","1"
"bebé","71","16","1","8","2","1"
"bebé","71","14","2","8","2","1"
"bebé","71","13","12","8","2","1"
"bebé","71","14","13","8","2","1"
"bebé","71","13","19","8","2","1"
"bebé","71","13","20","8","2","1"
"bebé","71","13","21","8","2","1"
"bebé","71","14","23","8","2","1"
"bebé","71","13","24","8","2","1"
"bebé","71","13","26","8","2","1"
"bebé","71","13","28","8","2","1"
"bebé","71","13","29","8","2","1"
"bebé","71","13","38","8","2","1"
"bebé","71","13","39","8","2","1"
"bebé","71","14","41","4","3","1"
"bebé","71","15","46","4","3","1"
"bebé","71","14","50","4","3","1"
"bebé","71","14","57","4","3","1"
"bebé","71","14","62","4","3","1"
"bebé","71","14","64","4","3","1"
"bebé","71","14","66","4","3","1"
"bebé","71","14","69","4","3","1"
"bebé","71","14","78","4","3","1"
"bebé","71","15","85","8","3","1"
"bebé","71","13","11","8","2","9"
"bebé","71","13","16","8","2","9"
"bebé","71","13","20","8","2","9"
"bebé","71","13","21","8","2","9"
"bebé","71","13","37","8","2","9"
"bebé","71","13","38","8","2","9"
"bebé","71","14","95","8","3","9"
"bendición","72","null","15","8","2","1"
"besos","73","null","75","4","3","8"
"bien dirigida","74","14","72","4","3","16"
"bienestar","75","15","82","8","3","13"
"bienestar","75","15","96","8","3","13"
"biología","76","14","64","4","3","16"
"bipolaridad","77","14","23","8","2","4"
"borracho","78","14","2","8","2","6"
"borracho","78","14","50","4","3","6"
"borracho","78","15","61","4","3","6"
"borracho","78","14","62","4","3","6"
"borracho","78","14","63","4","3","6"
"borracho","78","null","80","8","3","6"
"borracho","78","15","82","8","3","6"
"borracho","78","null","97","8","3","6"
"borracho","78","16","1","8","2","12"
"borrachos","79","14","53","4","3","6"
"borrachos","79","14","50","4","3","7"
"borrachos","79","14","4","8","2","12"
"brusco","80","null","81","8","3","14"
"buena","81","null","88","8","3","10"
"buena","81","15","89","8","3","10"
"buena","81","14","95","8","3","10"
"buena","81","15","96","8","3","10"
"buenas","82","14","72","4","3","4"
"bueno","83","14","43","4","3","1"
"bueno","83","15","61","4","3","3"
"buenos","84","14","13","8","2","12"
"buenos","84","null","15","8","2","12"
"buenos","84","13","16","8","2","12"
"buenos","84","13","30","8","2","12"
"buenos","84","13","39","8","2","12"
"bullying","85","13","28","8","2","2"
"bullying","85","14","53","4","3","2"
"bullying","85","14","76","4","3","2"
"bullying","85","14","87","8","3","2"
"bullying","85","null","88","8","3","2"
"bullying","85","15","89","8","3","2"
"bullying","85","14","92","8","3","2"
"bullying","85","null","97","8","3","2"
"bullying","85","14","99","8","3","2"
"bullying","85","null","93","8","3","10"
"buscapleitos","86","null","71","4","3","14"
"cachondeo","87","13","11","8","2","7"
"caguamas","88","15","47","4","3","6"
"calentura","89","15","47","4","3","1"
"calentura","89","14","49","4","3","1"
"calentura","89","14","50","4","3","1"
"calentura","89","13","18","8","2","7"
"calle","90","15","70","4","3","2"
"calle","90","14","50","4","3","5"
"cama","91","13","37","8","2","7"
"cama","91","13","36","8","2","13"
"cama","91","13","37","8","2","13"
"cama","91","15","45","4","3","13"
"cama","91","13","18","8","2","15"
"cambio climático","92","15","70","4","3","3"
"campeón mundial","93","null","75","4","3","3"
"canción","94","14","50","4","3","15"
"cantón","95","15","46","4","3","13"
"cantón","95","null","88","8","3","13"
"carácter","96","13","7","8","2","4"
"carácter","96","13","21","8","2","4"
"carácter","96","14","23","8","2","4"
"cárcel","97","14","78","4","3","6"
"cariño","98","14","50","4","3","8"
"cariño","98","null","80","8","3","8"
"cariño","98","14","42","4","3","12"
"cariño","98","14","49","4","3","12"
"cariño","98","14","50","4","3","12"
