Pares,FrEstC,IDP,IDI,Ed,Esc,Gra,ApEs,BoolEs,FrEs,StEs,LEs,ApGen,BoolGen,FrGen,StGen,LGen,Face,FrFace,SF,LF,SFBool
tecnología y redes sociales,6,11,498,14,8,2,1,true,2,0.16666667,4077,0,false,0,0,0,1,2,0.16666667,4077,1.16666667
tecnología y videojuegos,5,11,601,13,8,2,0,false,0,0,0,1,true,2,0,380,1,2,0,380,1
padres y responsabilidad,8,12,513,13,8,2,0,false,0,0,0,1,true,1,0,20763,1,1,0,20763,1
padres y amor,6,12,43,13,8,2,1,true,3,0.066666667,2823,1,true,3,0,309,1,6,0.033333333,1566,1.033333333
padres y regaños,6,12,500,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
hogar y protección,7,13,485,14,8,2,0,false,0,0,0,1,true,8,0.046527778,47,1,8,0.046527778,47,1.046527778
hogar y comodidad,6,13,124,13,8,2,0,false,0,0,0,1,true,15,0.022424243,226,1,15,0.022424243,226,1.022424243
hogar y familia,6,13,244,13,8,2,1,true,5,0,4564,1,true,71,0.060275288,663,1,76,0.056309809,919,1.056309809
conflictos y pelea,19,14,440,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
conflictos y miedo,7,14,376,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
conflictos y golpes,4,14,272,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
depresión y autoestima baja,10,15,60,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
depresión y suicidio,7,15,556,14,8,2,0,false,0,0,0,1,true,1,-0.1,29,1,1,-0.1,29,0.9
depresión y falta de padres,3,15,242,14,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
orientación sexual y apoyo,9,16,51,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
orientación sexual y aceptación,6,16,10,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
orientación sexual y prevención,5,16,478,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
confianza y amigos,18,17,40,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
confianza y apoyo,7,17,51,13,8,2,1,true,1,0.8,5484,1,true,8,-0.06875,7619,1,9,0.027777778,7381,1.027777778
